"","seurat_cluster_num","ChenLayerMarkers","TopTwoMarkers","BroadCellTypes"
"B1_T6_K7_S83_mouse1","0","Dkkl1","Rgs4-Nrn1","Excitatory"
"D6_T3_H15_S91_mouse1","0","Dkkl1","Rgs4-Nrn1","Excitatory"
"D6_T1_J3_S127_mouse1","1","Rprm","Rprm-Nptx1","Excitatory"
"D6_T8_C21_S205_mouse1","6","Lhx6","Sst-Crhbp","Inhibitory"
"E3_T6_A10_S146_mouse1","0","Dkkl1","Rgs4-Nrn1","Excitatory"
"F2_T1_N4_S224_mouse1","4","Tnfaip8l3","Nnat-Rasl10a","Inhibitory"
"F2_T7_I16_S44_mouse1","5","Tshz2","Myl4-Lypd1","Excitatory"
"F2_T9_N23_S171_mouse1","5","Tshz2","Myl4-Lypd1","Excitatory"
"H4_T2_G12_S64_mouse1","5","Tshz2","Myl4-Lypd1","Excitatory"
"B7_T6_A8_S144_mouse1","0","Dkkl1","Rgs4-Nrn1","Excitatory"
"B7_T8_L19_S119_mouse1","1","Rprm","Rprm-Nptx1","Excitatory"
"B7_T1_C2_S258_mouse1","3","Tesc","Cnr1-Npy","Excitatory"
"B7_T2_B8_S240_mouse1","3","Tesc","Cnr1-Npy","Excitatory"
"D12_T3_N15_S235_mouse1","4","Tnfaip8l3","Nnat-Rasl10a","Inhibitory"
"D12_T8_I21_S49_mouse1","3","Tesc","Cnr1-Npy","Excitatory"
"D12_T1_P3_S271_mouse1","2","Calb2","Vip-Penk","Inhibitory"
"B4_T8_I19_S47_mouse1","0","Dkkl1","Rgs4-Nrn1","Excitatory"
"B4_T9_J24_S76_mouse1","2","Calb2","Vip-Penk","Inhibitory"
"B4_T2_O7_S251_mouse1","5","Tshz2","Myl4-Lypd1","Excitatory"
"D4_T8_A21_S157_mouse1","0","Dkkl1","Rgs4-Nrn1","Excitatory"
"D4_T6_F9_S265_mouse1","0","Dkkl1","Rgs4-Nrn1","Excitatory"
"D4_T9_L24_S124_mouse1","1","Rprm","Rprm-Nptx1","Excitatory"
"D2_T9_L23_S123_mouse1","0","Dkkl1","Rgs4-Nrn1","Excitatory"
"D2_T2_E9_S13_mouse1","0","Dkkl1","Rgs4-Nrn1","Excitatory"
"C8_T6_N8_S156_mouse1","0","Dkkl1","Rgs4-Nrn1","Excitatory"
"C8_T8_I20_S48_mouse1","1","Rprm","Rprm-Nptx1","Excitatory"
"F11_T2_F11_S39_mouse1","4","Tnfaip8l3","Nnat-Rasl10a","Inhibitory"
"F11_T3_E17_S21_mouse1","1","Rprm","Rprm-Nptx1","Excitatory"
"F11_T6_E11_S243_mouse1","1","Rprm","Rprm-Nptx1","Excitatory"
"F11_T1_G5_S57_mouse1","6","Lhx6","Sst-Crhbp","Inhibitory"
"A6_T3_D13_S293_mouse1","0","Dkkl1","Rgs4-Nrn1","Excitatory"
"A6_T2_E7_S11_mouse1","1","Rprm","Rprm-Nptx1","Excitatory"
"A6_T6_D7_S215_mouse1","1","Rprm","Rprm-Nptx1","Excitatory"
"A6_T8_O18_S190_mouse1","2","Calb2","Vip-Penk","Inhibitory"
"A6_T7_B13_S173_mouse1","5","Tshz2","Myl4-Lypd1","Excitatory"
"H7_T1_K6_S154_mouse1","4","Tnfaip8l3","Nnat-Rasl10a","Inhibitory"
"H7_T3_I18_S118_mouse1","1","Rprm","Rprm-Nptx1","Excitatory"
"H7_T2_J12_S136_mouse1","1","Rprm","Rprm-Nptx1","Excitatory"
"H2_T9_P23_S219_mouse1","0","Dkkl1","Rgs4-Nrn1","Excitatory"
