"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Foxp2",9.92939361735491e-158,0.624193143232966,0.886,0.179,2.30500943433277e-153,"0","Foxp2"
"Arhgap25",1.87133421799589e-137,0.79679179981261,0.864,0.193,4.34411525365567e-133,"0","Arhgap25"
"Rprm",2.11451059659652e-134,2.03415222141317,0.949,0.367,4.90862489893916e-130,"0","Rprm"
"Syt6",3.51635571263897e-130,0.587676234778756,0.861,0.196,8.16286815132011e-126,"0","Syt6"
"Fancd2",1.38558130893515e-119,0.678363678221845,0.773,0.192,3.21648845056206e-115,"0","Fancd2"
"RP23-103O7.2",5.50705981745262e-116,1.27211532959881,0.575,0.094,1.27840886602345e-111,"0","RP23-103O7.2"
"Hs3st4",6.83033728717908e-116,1.00041907458697,0.949,0.376,1.58559449784575e-111,"0","Hs3st4"
"Col12a1",2.69570765594761e-112,0.5523985216576,0.773,0.191,6.25781575251679e-108,"0","Col12a1"
"Sla",1.83532596552955e-107,0.349470963789355,0.623,0.111,4.2605256963803e-103,"0","Sla"
"Ifi27",1.31396579180428e-105,1.1563953136595,0.824,0.276,3.05024018909447e-101,"0","Ifi27"
"Trbc2",2.20919241138009e-103,1.0179984760657,0.934,0.438,5.12841926377774e-99,"0","Trbc2"
"Tmsb10",2.95479395313068e-102,1.39353365815308,0.993,0.979,6.85925868279757e-98,"0","Tmsb10"
"Crym",3.94528787554786e-102,1.4536614505887,0.971,0.524,9.15859127429679e-98,"0","Crym"
"Ramp3",1.55709778745081e-101,1.32075407319762,0.894,0.376,3.61464680378831e-97,"0","Ramp3"
"Lmo1",3.45223506414962e-95,0.958747111809166,0.784,0.255,8.01401847791692e-91,"0","Lmo1"
"Gadd45a",2.6591204204246e-94,0.803922219608704,0.799,0.257,6.17288214397366e-90,"0","Gadd45a"
"Pcp4",3.08601459058903e-94,1.41372940295128,0.989,0.761,7.16387427059338e-90,"0","Pcp4"
"Serinc2",6.3892773041769e-94,0.720009125558734,0.689,0.174,1.48320683339163e-89,"0","Serinc2"
"Lsp1",3.48363521679748e-93,0.672297567880744,0.476,0.08,8.08691079227366e-89,"0","Lsp1"
"Ppp1r1b",1.12964757292498e-86,1.42658987742078,0.875,0.447,2.62236387578805e-82,"0","Ppp1r1b"
"Gm9844",8.55553713347931e-86,0.273518939908793,0.993,0.877,1.98608239016589e-81,"0","Gm9844"
"Ighm",2.62134182749909e-84,1.34763255418077,0.41,0.064,6.0851829183564e-80,"0","Ighm"
"Tle4",8.55584520698807e-84,0.587589619957516,0.919,0.379,1.98615390635021e-79,"0","Tle4"
"Sebox",4.36628389569196e-82,0.368964495516375,0.465,0.087,1.01358914354593e-77,"0","Sebox"
"Nfia",8.19898796098646e-82,0.775613657179915,0.875,0.389,1.9033130652634e-77,"0","Nfia"
"Ttc9b",9.23810286942337e-82,0.866970285451569,0.978,0.879,2.14453320010794e-77,"0","Ttc9b"
"Sulf1",1.16085789355535e-79,0.320750498051647,0.612,0.143,2.69481551409939e-75,"0","Sulf1"
"Dynll1",1.79645508005619e-78,0.776003049498638,0.996,0.977,4.17029082284243e-74,"0","Dynll1"
"Tagln3",6.92907677225653e-77,0.825072658309901,0.978,0.973,1.60851588191163e-72,"0","Tagln3"
"Ywhah",4.8836758552754e-75,0.706326108296166,0.996,0.989,1.13369651304363e-70,"0","Ywhah"
"Ipcef1",1.65446344881496e-72,0.582950441296924,0.894,0.378,3.84067145007905e-68,"0","Ipcef1"
"Rab26",2.3358394716905e-72,1.01698927638829,0.93,0.668,5.42241774958232e-68,"0","Rab26"
"Igsf21",4.24821507553576e-72,1.03802174946115,0.894,0.512,9.8618064763487e-68,"0","Igsf21"
"Spsb1",3.15520592679186e-70,0.301668330527047,0.685,0.199,7.32449503845462e-66,"0","Spsb1"
"Nptx1",1.55864866975579e-69,1.04130974759726,0.967,0.609,3.61824702197109e-65,"0","Nptx1"
"Spon1",2.1830087433628e-69,0.782420343331246,0.886,0.368,5.06763649684241e-65,"0","Spon1"
"Rprml",3.55675498677921e-69,0.797750026091937,0.945,0.604,8.25665102630926e-65,"0","Rprml"
"Uchl1",5.9668718048626e-69,0.703058377814653,0.993,0.974,1.3851496207808e-64,"0","Uchl1"
"Ccdc12",6.26174848415341e-67,0.714165479277094,0.952,0.813,1.45360229311137e-62,"0","Ccdc12"
"Eno1",1.41939422145896e-66,0.874254831982077,0.974,0.975,3.29498174569482e-62,"0","Eno1"
"Fxyd7",1.15631646264727e-65,0.7824439138732,0.967,0.775,2.68427303638937e-61,"0","Fxyd7"
"Brk1",1.41998678124137e-65,0.737560153821044,0.985,0.947,3.29635731397371e-61,"0","Brk1"
"Cxcl12",3.14764383866797e-65,0.816641633621969,0.74,0.27,7.30694040708382e-61,"0","Cxcl12"
"Sema5a",1.63897450993798e-64,0.483787534403018,0.777,0.275,3.80471542737003e-60,"0","Sema5a"
"Cyr61",1.76550228763219e-64,1.13147111144932,0.546,0.151,4.09843701050936e-60,"0","Cyr61"
"Cpe",9.01837363410802e-64,0.709355272977088,1,0.992,2.09352525542184e-59,"0","Cpe"
"Mctp1",1.12595044841776e-63,0.440327620600973,0.872,0.421,2.613781370957e-59,"0","Mctp1"
"Cyth2",3.69319581934422e-63,0.886439074048926,0.934,0.831,8.57338477502568e-59,"0","Cyth2"
"Lmo3",6.3073120953185e-63,0.680193610074793,0.952,0.473,1.46417942980724e-58,"0","Lmo3"
"Aldh3a1",3.2144341220519e-62,0.366044085932891,0.3,0.045,7.46198737093129e-58,"0","Aldh3a1"
"Tusc3",4.66478358352567e-62,0.664712665136794,0.982,0.964,1.08288286107965e-57,"0","Tusc3"
"Ctxn1",4.6843240327849e-62,0.903577812042602,0.967,0.83,1.08741898097069e-57,"0","Ctxn1"
"Crip2",7.02427812253242e-62,1.02391109363373,0.949,0.814,1.63061592336468e-57,"0","Crip2"
