,Calb2,Dkkl1 ,Lhx6 ,Rprm, Tesc ,Tnfaip8l3, Tshz2
  tdT-  ,180,512,87,362,186,146,155
  tdT+ ,396,652,115,315,229,104,91
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
      ,,,,,,,
Calb2,       Context-Only ,Fear-Only, Fear-Recall ,Homecage,,,
  tdT-    ,54,72,33,21,,,
  tdT+      ,68,98,179,51,,,
,,,,,,,
,,,,,,,
,,,,,,,
      ,,,,,,,
Dkkl1,       Context-Only ,Fear-Only, Fear-Recall ,Homecage,,,
  tdT-  ,195,110,149,58,,,
  tdT+     ,212,58,332,50,,,
,,,,,,,
,,,,,,,
,,,,,,,
      ,,,,,,,
Lhx6,       Context-Only ,Fear-Only, Fear-Recall ,Homecage,,,
  tdT-       ,12,26,32,17,,,
  tdT+     ,6,36,60,13,,,
,,,,,,,
,,,,,,,
,,,,,,,
      ,,,,,,,
Rprm,       Context-Only ,Fear-Only, Fear-Recall ,Homecage,,,
  tdT-      ,76,112,85,89,,,
  tdT+     ,75,73,149,18,,,
,,,,,,,
,,,,,,,
,,,,,,,
      ,,,,,,,
Tesc,       Context-Only ,Fear-Only, Fear-Recall ,Homecage,,,
  tdT-     ,44,79,41,22,,,
  tdT+  ,37,43,109,40,,,
,,,,,,,
,,,,,,,
,,,,,,,
      ,,,,,,,
Tnfaip8l3,       Context-Only ,Fear-Only, Fear-Recall ,Homecage,,,
  tdT-     ,57,37,30,22,,,
  tdT+     ,38,23,34,9,,,
,,,,,,,
,,,,,,,
,,,,,,,
      ,,,,,,,
Tshz2,       Context-Only ,Fear-Only, Fear-Recall ,Homecage,,,
  tdT-     ,31,51,55,18,,,
  tdT+       ,7,23,54,7,,,
,,,,,,,
