Run,AGE,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,gender,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,strain,tissue
SRR8441323,3-6 month,OTHER,50,2131643800,PRJNA515067,SAMN10741907,1109324743,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5248658,male,GSM3562094,Illumina HiSeq 2500,SINGLE,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-09-04T00:00:00Z,GSM3562094,Hippocampal excitatory neurons,SRP179090,C57BL/6J,Adult Forebrain (hippocampus)
SRR8441324,3-6 month,OTHER,50,2509736900,PRJNA515067,SAMN10741906,1310641673,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5248659,male,GSM3562095,Illumina HiSeq 2500,SINGLE,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-09-04T00:00:00Z,GSM3562095,Hippocampal excitatory neurons,SRP179090,C57BL/6J,Adult Forebrain (hippocampus)
SRR8441325,3-6 month,OTHER,50,2146664250,PRJNA515067,SAMN10741905,1113878095,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5248660,male,GSM3562096,Illumina HiSeq 2500,SINGLE,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-09-04T00:00:00Z,GSM3562096,Hippocampal excitatory neurons,SRP179090,C57BL/6J,Adult Forebrain (hippocampus)
SRR8441326,3-6 month,OTHER,50,2241312750,PRJNA515067,SAMN10741904,1169580750,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5248661,male,GSM3562097,Illumina HiSeq 2500,SINGLE,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-09-04T00:00:00Z,GSM3562097,Hippocampal excitatory neurons,SRP179090,C57BL/6J,Adult Forebrain (hippocampus)
SRR8441327,3-6 month,OTHER,50,2259045800,PRJNA515067,SAMN10741903,1174359919,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5248662,male,GSM3562098,Illumina HiSeq 2500,SINGLE,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-09-04T00:00:00Z,GSM3562098,Hippocampal excitatory neurons,SRP179090,C57BL/6J,Adult Forebrain (hippocampus)
SRR8441328,3-6 month,OTHER,50,2781525000,PRJNA515067,SAMN10741902,1468332679,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5248663,male,GSM3562099,Illumina HiSeq 2500,SINGLE,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-09-04T00:00:00Z,GSM3562099,Hippocampal excitatory neurons,SRP179090,C57BL/6J,Adult Forebrain (hippocampus)
SRR8441329,3-6 month,RNA-Seq,50,3947975750,PRJNA515067,SAMN10741901,1969857402,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5248664,male,GSM3562100,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-09-04T00:00:00Z,GSM3562100,Hippocampal excitatory neurons,SRP179090,C57BL/6J,Adult Forebrain (hippocampus)
SRR8441330,3-6 month,RNA-Seq,50,4216254800,PRJNA515067,SAMN10741900,1932123251,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5248665,male,GSM3562101,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-09-04T00:00:00Z,GSM3562101,Hippocampal excitatory neurons,SRP179090,C57BL/6J,Adult Forebrain (hippocampus)
SRR8441331,3-6 month,RNA-Seq,50,4310867750,PRJNA515067,SAMN10741899,2144727870,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5248666,male,GSM3562102,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-09-04T00:00:00Z,GSM3562102,Hippocampal excitatory neurons,SRP179090,C57BL/6J,Adult Forebrain (hippocampus)
SRR8441332,3-6 month,RNA-Seq,50,3647214600,PRJNA515067,SAMN10741898,1701394275,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5248667,male,GSM3562103,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-09-04T00:00:00Z,GSM3562103,Hippocampal excitatory neurons,SRP179090,C57BL/6J,Adult Forebrain (hippocampus)
SRR8441333,3-6 month,RNA-Seq,50,5344813900,PRJNA515067,SAMN10741897,2662515562,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5248668,male,GSM3562104,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-09-04T00:00:00Z,GSM3562104,Hippocampal excitatory neurons,SRP179090,C57BL/6J,Adult Forebrain (hippocampus)
SRR8441334,3-6 month,RNA-Seq,50,4060106850,PRJNA515067,SAMN10741896,1876183516,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5248669,male,GSM3562105,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-09-04T00:00:00Z,GSM3562105,Hippocampal excitatory neurons,SRP179090,C57BL/6J,Adult Forebrain (hippocampus)
