Run,Age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,strain
SRR4040322,12 weeks,RNA-Seq,64,27841664,PRJNA339170,SAMN05582196,14473819,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031433,GSM2282271,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282271,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040323,12 weeks,RNA-Seq,64,34606592,PRJNA339170,SAMN05582195,18004167,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031434,GSM2282272,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282272,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040324,12 weeks,RNA-Seq,64,24526464,PRJNA339170,SAMN05582194,12707162,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031435,GSM2282273,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282273,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040325,12 weeks,RNA-Seq,64,21471744,PRJNA339170,SAMN05582193,11162017,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031436,GSM2282274,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282274,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040326,12 weeks,RNA-Seq,64,17648576,PRJNA339170,SAMN05582192,9210188,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031437,GSM2282275,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282275,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040327,12 weeks,RNA-Seq,64,33513664,PRJNA339170,SAMN05582191,17359260,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031438,GSM2282276,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282276,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040328,12 weeks,RNA-Seq,64,32049856,PRJNA339170,SAMN05582190,16614278,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031439,GSM2282277,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282277,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040329,12 weeks,RNA-Seq,64,36172544,PRJNA339170,SAMN05582189,18767801,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031440,GSM2282278,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282278,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040330,12 weeks,RNA-Seq,64,50766912,PRJNA339170,SAMN05582188,26510058,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031441,GSM2282279,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282279,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040331,12 weeks,RNA-Seq,64,35039040,PRJNA339170,SAMN05582187,18295458,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031442,GSM2282280,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282280,Mouse Hippocampus region,SRP082327,C57BL/6
