Run,AGE,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Condition,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sex,source_name,SRA Study,strain,Cell_type,Antibody,antibody_vendor/catalog
SRR2922177,3 months old,ChIP-Seq,GCF_000001635.20,50,1477752400,PRJNA302062,SAMN04263804,634712997,GEO,context 1h,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1430094,GSM1939071,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-11-24T00:00:00Z,GSM1939071,male,hippocampal CA1,SRP066125,C56BL/6,neuron,H3K9AC,Millipore 07-352
SRR2922178,3 months old,ChIP-Seq,GCF_000001635.20,50,1541104100,PRJNA302062,SAMN04263805,661806486,GEO,context 1h,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1430095,GSM1939072,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-11-24T00:00:00Z,GSM1939072,male,hippocampal CA1,SRP066125,C56BL/6,neuron,H3K9AC,Millipore 07-352
SRR2922179,3 months old,ChIP-Seq,GCF_000001635.20,50,2051036350,PRJNA302062,SAMN04263806,887823343,GEO,context 1h,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1430096,GSM1939073,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-11-24T00:00:00Z,GSM1939073,male,hippocampal CA1,SRP066125,C56BL/6,non neuron,H3K9AC,Millipore 07-352
SRR2922180,3 months old,ChIP-Seq,GCF_000001635.20,50,1618200700,PRJNA302062,SAMN04263807,705325131,GEO,context 1h,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1430097,GSM1939074,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-11-24T00:00:00Z,GSM1939074,male,hippocampal CA1,SRP066125,C56BL/6,non neuron,H3K9AC,Millipore 07-352
SRR2922181,3 months old,ChIP-Seq,GCF_000001635.20,50,1755192000,PRJNA302062,SAMN04263808,753120764,GEO,naive,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1430098,GSM1939075,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-11-24T00:00:00Z,GSM1939075,male,hippocampal CA1,SRP066125,C56BL/6,neuron,H3K9AC,Millipore 07-352
SRR2922182,3 months old,ChIP-Seq,GCF_000001635.20,50,1921238650,PRJNA302062,SAMN04263809,824259959,GEO,naive,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1430099,GSM1939076,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-11-24T00:00:00Z,GSM1939076,male,hippocampal CA1,SRP066125,C56BL/6,neuron,H3K9AC,Millipore 07-352
SRR2922183,3 months old,ChIP-Seq,GCF_000001635.20,50,1759281750,PRJNA302062,SAMN04263810,764689977,GEO,naive,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1430100,GSM1939077,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-11-24T00:00:00Z,GSM1939077,male,hippocampal CA1,SRP066125,C56BL/6,non neuron,H3K9AC,Millipore 07-352
SRR2922184,3 months old,ChIP-Seq,GCF_000001635.20,50,1690915350,PRJNA302062,SAMN04263811,739143755,GEO,naive,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1430101,GSM1939078,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-11-24T00:00:00Z,GSM1939078,male,hippocampal CA1,SRP066125,C56BL/6,non neuron,H3K9AC,Millipore 07-352
SRR2922185,3 months old,ChIP-Seq,GCF_000001635.20,50,1567120550,PRJNA302062,SAMN04263812,676688955,GEO,shock 1h,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1430102,GSM1939079,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-11-24T00:00:00Z,GSM1939079,male,hippocampal CA1,SRP066125,C56BL/6,neuron,H3K9AC,Millipore 07-352
SRR2922186,3 months old,ChIP-Seq,GCF_000001635.20,50,1173437250,PRJNA302062,SAMN04263813,505846219,GEO,shock 1h,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1430103,GSM1939080,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-11-24T00:00:00Z,GSM1939080,male,hippocampal CA1,SRP066125,C56BL/6,neuron,H3K9AC,Millipore 07-352
