"label_neg","label_pos","predict","observed","engramobserved","inactiveobserved"
0.734,0.266,"Fos-","Fos-",0,1
0.782,0.218,"Fos-","Fos-",0,1
0.745,0.255,"Fos-","Fos-",0,1
0.764,0.236,"Fos-","Fos-",0,1
0.761,0.239,"Fos-","Fos-",0,1
0.732,0.268,"Fos-","Fos-",0,1
0.742,0.258,"Fos-","Fos-",0,1
0.782,0.218,"Fos-","Fos-",0,1
0.776,0.224,"Fos-","Fos-",0,1
0.78,0.22,"Fos-","Fos-",0,1
0.761,0.239,"Fos-","Fos-",0,1
0.814,0.186,"Fos-","Fos-",0,1
0.77,0.23,"Fos-","Fos-",0,1
0.776,0.224,"Fos-","Fos-",0,1
0.744,0.256,"Fos-","Fos-",0,1
0.782,0.218,"Fos-","Fos-",0,1
0.824,0.176,"Fos-","Fos-",0,1
0.793,0.207,"Fos-","Fos-",0,1
0.81,0.19,"Fos-","Fos-",0,1
0.811,0.189,"Fos-","Fos-",0,1
0.785,0.215,"Fos-","Fos-",0,1
0.771,0.229,"Fos-","Fos-",0,1
0.779,0.221,"Fos-","Fos-",0,1
0.8,0.2,"Fos-","Fos-",0,1
0.791,0.209,"Fos-","Fos-",0,1
0.844,0.156,"Fos-","Fos-",0,1
0.786,0.214,"Fos-","Fos-",0,1
0.807,0.193,"Fos-","Fos-",0,1
0.811,0.189,"Fos-","Fos-",0,1
0.764,0.236,"Fos-","Fos-",0,1
0.832,0.168,"Fos-","Fos-",0,1
0.781,0.219,"Fos-","Fos-",0,1
0.811,0.189,"Fos-","Fos-",0,1
0.8,0.2,"Fos-","Fos-",0,1
0.75,0.25,"Fos-","Fos-",0,1
0.791,0.209,"Fos-","Fos-",0,1
0.794,0.206,"Fos-","Fos-",0,1
0.792,0.208,"Fos-","Fos-",0,1
0.82,0.18,"Fos-","Fos-",0,1
0.769,0.231,"Fos-","Fos-",0,1
0.77,0.23,"Fos-","Fos-",0,1
0.813,0.187,"Fos-","Fos-",0,1
0.795,0.205,"Fos-","Fos-",0,1
0.797,0.203,"Fos-","Fos-",0,1
0.79,0.21,"Fos-","Fos-",0,1
0.745,0.255,"Fos-","Fos-",0,1
0.773,0.227,"Fos-","Fos-",0,1
0.812,0.188,"Fos-","Fos-",0,1
0.791,0.209,"Fos-","Fos-",0,1
0.794,0.206,"Fos-","Fos-",0,1
0.8,0.2,"Fos-","Fos-",0,1
0.805,0.195,"Fos-","Fos-",0,1
0.79,0.21,"Fos-","Fos-",0,1
0.805,0.195,"Fos-","Fos-",0,1
0.795,0.205,"Fos-","Fos-",0,1
0.776,0.224,"Fos-","Fos-",0,1
0.792,0.208,"Fos-","Fos-",0,1
0.812,0.188,"Fos-","Fos-",0,1
0.766,0.234,"Fos-","Fos-",0,1
0.805,0.195,"Fos-","Fos-",0,1
0.799,0.201,"Fos-","Fos-",0,1
0.796,0.204,"Fos-","Fos-",0,1
0.774,0.226,"Fos-","Fos-",0,1
0.786,0.214,"Fos-","Fos-",0,1
0.799,0.201,"Fos-","Fos-",0,1
0.752,0.248,"Fos-","Fos-",0,1
0.844,0.156,"Fos-","Fos-",0,1
0.815,0.185,"Fos-","Fos-",0,1
0.818,0.182,"Fos-","Fos-",0,1
0.779,0.221,"Fos-","Fos-",0,1
0.773,0.227,"Fos-","Fos-",0,1
0.791,0.209,"Fos-","Fos-",0,1
0.805,0.195,"Fos-","Fos-",0,1
0.783,0.217,"Fos-","Fos-",0,1
0.761,0.239,"Fos-","Fos-",0,1
0.792,0.208,"Fos-","Fos-",0,1
0.804,0.196,"Fos-","Fos-",0,1
0.792,0.208,"Fos-","Fos-",0,1
0.778,0.222,"Fos-","Fos-",0,1
0.82,0.18,"Fos-","Fos-",0,1
0.841,0.159,"Fos-","Fos-",0,1
0.774,0.226,"Fos-","Fos-",0,1
0.802,0.198,"Fos-","Fos-",0,1
0.786,0.214,"Fos-","Fos-",0,1
0.805,0.195,"Fos-","Fos-",0,1
0.759,0.241,"Fos-","Fos-",0,1
0.812,0.188,"Fos-","Fos-",0,1
0.773,0.227,"Fos-","Fos-",0,1
0.733,0.267,"Fos-","Fos-",0,1
0.803,0.197,"Fos-","Fos-",0,1
0.79,0.21,"Fos-","Fos-",0,1
0.818,0.182,"Fos-","Fos-",0,1
0.781,0.219,"Fos-","Fos-",0,1
0.805,0.195,"Fos-","Fos-",0,1
0.795,0.205,"Fos-","Fos-",0,1
0.762,0.238,"Fos-","Fos-",0,1
0.804,0.196,"Fos-","Fos-",0,1
0.822,0.178,"Fos-","Fos-",0,1
0.804,0.196,"Fos-","Fos-",0,1
0.788,0.212,"Fos-","Fos-",0,1
0.747,0.253,"Fos-","Fos-",0,1
0.797,0.203,"Fos-","Fos-",0,1
0.805,0.195,"Fos-","Fos-",0,1
