Accession,Title,Cellgroup,ArcStatus,FosStatus,Sample Type,Taxonomy,Channels,Platform,Series,Supplementary Types,Supplementary Links,SRA Accession,Contact,Release Date
GSM2609369,1_HC_N_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791732,SRX2791732,Fred H Gage,27-Jul-18
GSM2609370,2_1hr_F_Sub,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791733,SRX2791733,Fred H Gage,27-Jul-18
GSM2609371,3_1hr_F_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791734,SRX2791734,Fred H Gage,27-Jul-18
GSM2609372,4_1hr_F_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791735,SRX2791735,Fred H Gage,27-Jul-18
GSM2609373,5_HC_N_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791736,SRX2791736,Fred H Gage,27-Jul-18
GSM2609374,6_HC_N_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791737,SRX2791737,Fred H Gage,27-Jul-18
GSM2609375,7_HC_N_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791738,SRX2791738,Fred H Gage,27-Jul-18
GSM2609376,8_1hr_N_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791739,SRX2791739,Fred H Gage,27-Jul-18
GSM2609377,9_1hr_N_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791740,SRX2791740,Fred H Gage,27-Jul-18
GSM2609378,10_1hr_N_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791741,SRX2791741,Fred H Gage,27-Jul-18
GSM2609379,11_1hr_F_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791742,SRX2791742,Fred H Gage,27-Jul-18
GSM2609380,12_HC_N_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791743,SRX2791743,Fred H Gage,27-Jul-18
GSM2609381,13_1hr_F_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791744,SRX2791744,Fred H Gage,27-Jul-18
GSM2609382,14_1hr_F_Sub,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791745,SRX2791745,Fred H Gage,27-Jul-18
GSM2609383,15_1hr_F_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791746,SRX2791746,Fred H Gage,27-Jul-18
GSM2609384,16_HC_N_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791747,SRX2791747,Fred H Gage,27-Jul-18
GSM2609385,17_1hr_N_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791748,SRX2791748,Fred H Gage,27-Jul-18
GSM2609386,18_1hr_N_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791749,SRX2791749,Fred H Gage,27-Jul-18
GSM2609387,19_1hr_N_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791750,SRX2791750,Fred H Gage,27-Jul-18
GSM2609388,20_1hr_N_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791751,SRX2791751,Fred H Gage,27-Jul-18
GSM2609389,21_1hr_F_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791752,SRX2791752,Fred H Gage,27-Jul-18
GSM2609390,22_HC_N_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791753,SRX2791753,Fred H Gage,27-Jul-18
GSM2609391,23_1hr_F_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791754,SRX2791754,Fred H Gage,27-Jul-18
GSM2609392,24_1hr_F_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791755,SRX2791755,Fred H Gage,27-Jul-18
GSM2609393,25_1hr_F_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791756,SRX2791756,Fred H Gage,27-Jul-18
GSM2609394,26_HC_N_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791757,SRX2791757,Fred H Gage,27-Jul-18
GSM2609395,27_HC_N_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791758,SRX2791758,Fred H Gage,27-Jul-18
GSM2609396,28_HC_N_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791759,SRX2791759,Fred H Gage,27-Jul-18
GSM2609397,29_1hr_N_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791760,SRX2791760,Fred H Gage,27-Jul-18
GSM2609398,30_1hr_N_Sub,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791761,SRX2791761,Fred H Gage,27-Jul-18
GSM2609399,31_1hr_N_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791762,SRX2791762,Fred H Gage,27-Jul-18
GSM2609400,32_1hr_N_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791763,SRX2791763,Fred H Gage,27-Jul-18
GSM2609401,33_1hr_F_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791764,SRX2791764,Fred H Gage,27-Jul-18
GSM2609402,34_HC_N_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791765,SRX2791765,Fred H Gage,27-Jul-18
