gene,importance_score
Lingo1,7.728985053582095
Inhba,5.416592506592888
Spry2,4.5277203429629145
Synpo,4.472614066130559
Arc,3.8089322514383737
Adgrl3,3.7032996187555125
Plk2,3.077253140826688
Mapk4,2.4597755971756596
Bdnf,2.1533493277626805
Pcdh8,1.8351940736635692
Chgb,1.6810868130495622
Per3,1.6609907378246263
Hpcal4,1.5806019121339046
Fmnl1,1.5279767428841367
Abr,1.270148797974597
Shank1,1.1275823179894895
H2-T23,1.0685868040943658
Rtn4rl1,0.9748000023185819
Sorcs3,0.8956385089472395
Vgf,0.8731803343982422
Nptx2,0.7784128368010644
Tacc1,0.6986581018440927
Epha10,0.6694180913561449
Ptgs2,0.6073720648063693
Dgat2l6,0.5830024763448377
Rbbp7,0.577551147560827
Gadd45b,0.5574766666421493
Adora3,0.5123486360958691
Acan,0.4823320197325104
Tet3,0.47269838418237653
Prorsd1,0.4665678293019791
Stmn4,0.45386461364564123
Arhgap20,0.4512934098605292
Dot1l,0.43066268963900195
Dnajc1,0.42748383104145243
Myo1c,0.3935625546646463
Ankrd33b,0.3756450190178049
Rfwd2,0.37104688177413797
Lmo7,0.3490680105800624
B4galt1,0.34656915220313556
Slc7a11,0.3386143984108255
Dlgap2,0.3272211872810264
Ppp1r16b,0.31499718356575956
Ptprn,0.309285107794707
Elmo1,0.3071771129359941
Acap2,0.30316156072511824
Scg2,0.2975613744607671
Mt1,0.2940910761248265
Ckb,0.29247099241412794
Magi2,0.2918837509826828
Ifi203,0.29080204925575975
Ppm1h,0.27861451073459576
Srxn1,0.2726737196667734
Pik3ip1,0.2704907429894122
Syne1,0.2699905154012613
Prdm10,0.26845462104434614
Brinp1,0.2653455581702725
Lrrtm2,0.25260076348090027
Bhlhe41,0.23959353784039206
Cltb,0.23758001811639087
B4galt3,0.23723308676226207
Tanc1,0.23622615913315886
Iqsec1,0.2357145643596218
Polr2l,0.23526016801632663
Epha7,0.23525838574176453
Clasp2,0.23099635507508684
Pianp,0.2301943400497633
Ccnt2,0.22795012448567367
Zbtb8b,0.2274040593304068
Vimp,0.2222226882481929
Pigv,0.22192123404119343
A530013C23Rik,0.21944387619204464
Gadd45g,0.21712809574494
Adgrb1,0.2164354902347495
Stxbp3,0.21459249766279248
Arhgap42,0.2125665190489667
Fat4,0.21197505567316363
Myef2,0.20328958371202946
Galnt16,0.2031423217960075
Htr1a,0.1840569427499544
Rnd3,0.18346024433581312
Bcl11a,0.18331961413265868
Slc6a1,0.1820420120827885
Dclk1,0.18159932836919904
Mrpl13,0.1805364121012484
Cntn3,0.17889076934442277
Sf3b1,0.17502454813494703
Pim1,0.1730245298069425
Pcmtd2,0.1724526927265123
Sez6l2,0.17167640557763497
Calb1,0.17105150779771988
Adcyap1r1,0.16875942788042697
Zfp84,0.1664740203715333
Sgk1,0.16626896109334058
Hsph1,0.16581844599255663
Rxfp1,0.16567262998613977
Ntng1,0.16202188796899203
Fbln1,0.16149646906581525
Tmem181a,0.16063305013325976
Kdm6b,0.15676420743752198
Lrrc4c,0.15369342178490075
Acot3,0.15369249756302278
Trim9,0.15292406616306406
Blnk,0.15087535853300554
Fam19a1,0.14703610358183797
Rnft1,0.14601080848458758
Synrg,0.14559975785999682
Slc30a3,0.14543500597235504
Hsp90aa1,0.14500780926788728
Mrgpre,0.1429229519141411
Vamp5,0.1425104438992194
Nrn1,0.1422591758317418
D430041D05Rik,0.14026454274300462
Apc,0.1397963156383011
Igsf8,0.13779530007031077
Pak6,0.1377254309078871
Fam65b,0.13760161631880316
Slc6a15,0.13739619694706984
Sord,0.13135197641392665
Sstr2,0.13077481886719994
Dnajb5,0.13077396850785228
Atp1b1,0.13071135848389498
Exosc2,0.1305516460068314
Atp2b1,0.1293220412517984
Dock3,0.12889849775474402
Neat1,0.12888019449528948
Tpr,0.12886793396134338
Aoc2,0.12792193660601692
Snhg20,0.12697611135650066
Jmjd1c,0.12682343285783193
Dmtn,0.12679079292352438
Itm2b,0.125805084842551
Akap13,0.1254624210288086
Bbs5,0.1238576917737013
Sult2b1,0.12323940069403169
Pvrl1,0.12235861037759427
Nwd2,0.12079275468535149
Zbtb18,0.12060286473529282
Dhrs7,0.11737774536246867
Ints7,0.11714746701769671
Egfr,0.11608755398151305
Gm10605,0.11581919123924148
Pvrl3,0.11366676071369654
Steap2,0.11346427756342888
Adamts15,0.11272375247966579
Rab33a,0.11219714392912444
Hectd2,0.1119702920684419
Slc25a3,0.11191527448155433
Gfra4,0.11185104611016665
Zfp239,0.11185056938328629
Sec61a2,0.1113061930470503
