gene,importance_score
Lingo1,5.12855922994383
Inhba,4.2546792191310985
Adgrl3,3.860287556991766
Synpo,3.660355997921323
Arc,3.536986981368019
Plk2,3.0740466243786333
Chgb,2.2815129907946323
Fmnl1,2.2571351239137907
H2-T23,2.119532798417132
Bdnf,2.0184700250394263
Shank1,1.8009838313443043
Pcdh8,1.703002455328311
Ptgs2,1.4803582782988953
Spry2,1.4525102538480341
Brinp1,1.4179924668229096
Nptx2,1.4156565930152052
Gadd45b,1.3448762853074485
Npy,1.3089058731397787
Rtn4rl1,1.3011932579372187
Vgf,1.2048356709968502
Ankrd33b,0.8744919227982714
Mapk4,0.8288254571660637
Polr2l,0.817095057885137
Abr,0.7743971287049243
Sgk1,0.7513601637888835
Elmo1,0.7308058522894328
Lmo7,0.6937917094118634
Per3,0.666035881122124
Ncan,0.642154975893196
Stmn4,0.6312134941096952
Kcnk1,0.5936917909494941
Nrn1,0.5692776504950873
Sorcs3,0.5642408443463715
Fbxw7,0.5365208367192047
Syne1,0.48296570033556996
Mt1,0.4618234572573909
Slc6a8,0.45944385510073504
Acan,0.43847955546839784
Arhgap20,0.4096774597296268
Cpeb1,0.40934144303055814
Sult2b1,0.39549917065290013
Ifi203,0.3924202360978733
Tmem2,0.3820982413161755
Bhlhe41,0.3752864836979752
Pvrl3,0.36161643574477736
Prpf38b,0.3558151249397181
Disp2,0.3519616043197882
Acap2,0.35109296887470726
Blnk,0.3490316808163944
Cltb,0.34842455581110426
Tef,0.33061305515468137
Sstr2,0.32844836363610647
Cul9,0.32592984092439636
Scg2,0.3243991816346595
Dnajc1,0.3232489780946189
Sf3b1,0.3217720938610239
Atp1b1,0.31758276338627417
Epha10,0.31081403934810947
Ccnt2,0.3104080744165659
Rnd3,0.30885704497251104
Dgat2l6,0.29896107537655886
Rgs4,0.29763818364653766
Sidt1,0.29007051648687415
Nrp1,0.286438796900973
Pim1,0.28476703000444087
Tacc1,0.2795586419828669
Ppm1h,0.2746567571372568
Mpdz,0.26915402115626824
Dclk1,0.2660217787519087
Rbbp7,0.26461730915283577
Ppp1r16b,0.2591023931483122
Clstn1,0.2569105757777777
Hpcal4,0.25684012467085426
Megf11,0.24859033410932074
Exosc2,0.247100815678356
Cdr1,0.24633173351654247
Osbpl6,0.24239520554017688
Trim9,0.2390104181643821
Rfwd2,0.23546036542440138
Kcna4,0.23138339660246118
Tcf4,0.2309667805649427
Pid1,0.23074892389311105
Pianp,0.22581013318817475
Dnajb5,0.22560076594237738
Dlgap2,0.22194114421872113
Snn,0.21113471754868113
Baiap2,0.2075616664875262
Tirap,0.20643030584996358
Slc7a11,0.20602435482368134
Cyp7b1,0.2010902834278668
Astn1,0.1979754557536173
Tanc1,0.19634368266098995
Pkd1,0.1950815877333121
Dclk2,0.19393560243420083
Epha7,0.18600513868784016
Ccpg1,0.1851648699358009
Lrrtm2,0.18430450648704386
Egfr,0.18404473055528608
Igfbp5,0.18203660577623754
Atp2b1,0.17861774189070237
Ticam2,0.17780279752427558
Sec24a,0.17764867603230647
Pvrl1,0.17451132486638865
Asb11,0.17442521952921777
St5,0.17353394684451284
Adgrb1,0.17262145548987712
Ptprz1,0.16532964198819486
Ssh2,0.16419598383071826
Snapc3,0.16295735783404944
Mir124a-1hg,0.16205319495456824
Dot1l,0.16074578465919573
Actn2,0.16051901591439977
Stx1b,0.15907961796919123
Lypd6b,0.15859752561747942
Aldoa,0.15737834794157238
Ank,0.15427849723103754
Fam53b,0.15154710666838211
Srxn1,0.14951315857514638
Thap4,0.14946129819084997
Sparcl1,0.14774424995104252
Wrb,0.14743573834379872
Zbtb8b,0.14622590582612935
Rad51c,0.14457730589008025
Shisa4,0.14258381017204624
Dlg2,0.14075625277145878
Ntrk2,0.14047365400690012
Aqp11,0.13637187967435607
Acad10,0.1353469892291155
Gm12280,0.13530982678255038
B4galt3,0.13478062721285053
Prrt1,0.12988946459235112
Pak1,0.12815847014685317
Ssbp3,0.12761504620047381
Fbln1,0.12562107839353223
Esco2,0.12321186050967825
Paqr3,0.1229575942978757
Gm13251,0.12215227153285974
Prkag2,0.12158014923748184
Chd4,0.12111259411980572
Clasp2,0.11862603207860303
Cep70,0.11698125776053922
Arid5b,0.1158463312955864
Tmod2,0.11575159003361335
Rasl12,0.11559532947060926
Nptxr,0.1152496921913595
Me3,0.1147411939816285
Casz1,0.11431613522665593
Atp5d,0.11407147739978893
Sgk3,0.11401237538806519
Dync2li1,0.11338614839832005
Atp6v0a1,0.11274946387939438
Bud13,0.11108885031598048
Foxred1,0.1100184486023012
Gm26512,0.10821614228684256
Auts2,0.1080181164740902
Gigyf1,0.10801694631309712
Dpysl4,0.10741824489072202
Slc35d2,0.10718399229472651
Smad4,0.1067419930506911
9330159F19Rik,0.10651346779257756
Mvb12b,0.1058263380016185
B4galt1,0.10533291090030103
Sestd1,0.10510495358380058
Ptprn,0.10308772764913084
Spata13,0.1028697339611192
Coa3,0.10153344868320842
Ndrg3,0.10104373256163678
Fam107a,0.1007034021160346
Tnrc6b,0.10010914875000838
Usp11,0.09972812282742398
Hsd17b12,0.09970524750615303
Ppp2ca,0.09854590090948502
Wdr19,0.09814715753626986
Rcsd1,0.09789383411952672
Rgs7bp,0.09765287768804069
Gm15564,0.09583580090673058
Aldoc,0.09549530325613854
Nrxn3,0.09446275669472243
Plekhg5,0.09428460516374779
Gm561,0.09409381625722797
Pgf,0.09370875144047944
Tesc,0.09365171336000007
B3gat1,0.09314927298405977
Edc4,0.09134788464284614
Nrxn1,0.09106781109957532
Prdm5,0.09100994858454632
Sys1,0.09008337758844655
Chst3,0.08991879011983195
Fgfr1,0.08988608234294947
Tenm1,0.08962234288855887
Atf3,0.08940478781922961
Ptpn5,0.08868844484300493
Snapc1,0.08833958487950415
Actg1,0.08826648465461838
Tmem263,0.08775752585122334
Adcyap1r1,0.08747716406699568
Angptl7,0.08705205126862695
Mttp,0.08697431667208631
Nav1,0.08678321859740905
Catsperg1,0.08653187238283619
Mvk,0.08633165312647818
Rheb,0.0860841131821475
Dock4,0.08595675128174747
Mgst3,0.08578963922940659
Erc2,0.08571975007419229
Nsl1,0.08506883681242157
Krba1,0.0850501791382594
Ints3,0.08489318486379761
Fstl4,0.08478884000226003
Kif21a,0.08462489511844498
Ak5,0.0843722385330534
Fbxo3,0.08407953723014591
Soga3,0.08375424808309284
Slc16a2,0.08364114959306196
Fth1,0.08358921557626339
Hectd2,0.08352455581006518
Tnfaip8,0.08332962603271475
St3gal1,0.08304244798153124
Spsb1,0.08219845533261039
Osbp2,0.08181691751436812
Ids,0.0817184096729004
Nsmce4a,0.0815491167218016
Calcoco1,0.08122974730643688
Mapk10,0.08118501539406565
Smad7,0.08086952734901988
Tigd2,0.08027370096566795
Slc11a1,0.0800099115323244
Dtna,0.07957703708694044
Rab9,0.07920137671706053
4933427D14Rik,0.07890608428380173
Ide,0.07879364515699434
2700062C07Rik,0.0785885595724419
Pclo,0.0784575254116517
Lsg1,0.07841956248622348
Txlna,0.07799662397266595
Scamp5,0.07786657671627553
Nif3l1,0.07782298476997324
Rmi2,0.07770102090169373
Cfap44,0.07724608343826585
Lpin2,0.0761515804826834
Heatr3,0.07615075724995012
Prorsd1,0.07605311833277562
Dlgap5,0.07599265389330216
Flad1,0.07548830425049259
Eaf1,0.07515878242824804
Tapbpl,0.07508541565305304
Tmc4,0.0750165599860132
Capn7,0.07486623274926209
Cdk5rap1,0.07454849895717548
E130309D02Rik,0.074065853996918
Cntn3,0.0740502717691527
Rab11fip4,0.07404327560118071
Diablo,0.07393811604955641
Adamts5,0.07378433128640888
C920021L13Rik,0.07355406838506298
Tmem14a,0.07344444465344337
Amz1,0.07316309554025731
Ndufb4,0.07289911342542685
Nsun3,0.07288684684860239
Gnas,0.07263333800083481
Gcc2,0.07244364628250398
Thsd4,0.07205738699568291
Mettl2,0.07178837803134169
Gabpb2,0.0717833563269914
Sde2,0.07148881886519497
Tnrc6c,0.07141099994275275
Mrpl43,0.07122619702248002
Cwc15,0.0710126027728034
Prdm10,0.07082214319846336
Zfp212,0.07024593026664712
Zswim3,0.07013829690246397
Ttc23,0.07000007343789479
Rnf207,0.06948091224649214
Erc1,0.06924828137405409
Kdsr,0.06915122478368838
Reps1,0.06896632678957357
