Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,facs_sort,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sequencing_method,source_name,SRA Study,strain,treatment
SRR3110988,RNA-Seq,182,752309740,PRJNA309383,SAMN04432277,345835572,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539300,GFP+,GSM2043231,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043231,whole-cell RNA-seq,DGC_PTZ_whole-cell,SRP068706,Prox1-GFP,PTZ
SRR3110989,RNA-Seq,182,622277292,PRJNA309383,SAMN04432278,275678444,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539301,GFP+,GSM2043232,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043232,whole-cell RNA-seq,DGC_Saline_whole-cell,SRP068706,Prox1-GFP,Saline
SRR3110990,RNA-Seq,182,2878148,PRJNA309383,SAMN04432279,1200849,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539302,GFP+,GSM2043233,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043233,whole-cell RNA-seq,DGC_PTZ_whole-cell,SRP068706,Prox1-GFP,PTZ
SRR3110991,RNA-Seq,182,967626660,PRJNA309383,SAMN04432280,430190909,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539303,GFP+,GSM2043234,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043234,whole-cell RNA-seq,DGC_Saline_whole-cell,SRP068706,Prox1-GFP,Saline
SRR3110992,RNA-Seq,182,723785972,PRJNA309383,SAMN04432281,332564868,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539304,GFP+,GSM2043235,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043235,whole-cell RNA-seq,DGC_PTZ_whole-cell,SRP068706,Prox1-GFP,PTZ
SRR3110993,RNA-Seq,182,745138212,PRJNA309383,SAMN04432282,335197964,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539305,GFP+,GSM2043236,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043236,whole-cell RNA-seq,DGC_Saline_whole-cell,SRP068706,Prox1-GFP,Saline
SRR3110994,RNA-Seq,182,1126679008,PRJNA309383,SAMN04432283,517926018,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539306,GFP+,GSM2043237,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043237,whole-cell RNA-seq,DGC_PTZ_whole-cell,SRP068706,Prox1-GFP,PTZ
SRR3110995,RNA-Seq,182,983704722,PRJNA309383,SAMN04432284,441523742,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539307,GFP+,GSM2043238,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043238,whole-cell RNA-seq,DGC_Saline_whole-cell,SRP068706,Prox1-GFP,Saline
SRR3110996,RNA-Seq,182,892334716,PRJNA309383,SAMN04432285,412430215,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539308,GFP+,GSM2043239,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043239,whole-cell RNA-seq,DGC_PTZ_whole-cell,SRP068706,Prox1-GFP,PTZ
SRR3110997,RNA-Seq,182,890328712,PRJNA309383,SAMN04432286,399747038,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539309,GFP+,GSM2043240,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043240,whole-cell RNA-seq,DGC_Saline_whole-cell,SRP068706,Prox1-GFP,Saline
