orig.ident,nCount_RNA,nFeature_RNA,condition,og_cluster,label_status,nCount_SCT,nFeature_SCT,integrated_snn_res.0.017,seurat_clusters,broad_cell_type
SeuratProject,545763,7644,Homecage,Dkkl1,tdT-,1644,1127,3,3,Excitatory
SeuratProject,247771,8689,Homecage,Dkkl1,tdT-,1447,885,3,3,Excitatory
SeuratProject,583693,8119,Homecage,Rprm,tdT-,1516,986,2,2,Excitatory
SeuratProject,583444,5585,Homecage,Lhx6,tdT-,2172,1442,4,4,Inhibitory
SeuratProject,288373,7416,Homecage,Dkkl1,tdT-,1628,1092,0,0,Excitatory
SeuratProject,774095,8252,Homecage,Tnfaip8l3,tdT-,1562,1070,3,3,Excitatory
SeuratProject,314846,7545,Homecage,Tshz2,tdT-,1645,1114,2,2,Excitatory
SeuratProject,584005,6828,Homecage,Tshz2,tdT-,1814,1252,2,2,Excitatory
SeuratProject,1032749,6617,Homecage,Tshz2,tdT-,1753,1238,2,2,Excitatory
SeuratProject,1077019,7871,Homecage,Dkkl1,tdT-,1598,1087,0,0,Excitatory
SeuratProject,396648,7062,Homecage,Rprm,tdT-,1697,1159,2,2,Excitatory
SeuratProject,495509,6869,Homecage,Tesc,tdT-,2036,1489,5,5,Inhibitory
SeuratProject,273036,5711,Homecage,Tesc,tdT-,2037,1455,6,6,Inhibitory
SeuratProject,161666,7518,Homecage,Tnfaip8l3,tdT-,1605,1037,0,0,Excitatory
SeuratProject,299138,5107,Homecage,Calb2,tdT-,2162,1467,5,5,Inhibitory
SeuratProject,243787,7545,Homecage,Dkkl1,tdT-,1568,854,0,0,Excitatory
SeuratProject,890153,7706,Homecage,Dkkl1,tdT-,1611,1064,0,0,Excitatory
SeuratProject,432637,7140,Homecage,Dkkl1,tdT-,1714,1126,0,0,Excitatory
SeuratProject,1071817,6204,Homecage,Tnfaip8l3,tdT-,1979,1235,1,1,Excitatory
SeuratProject,1810834,5798,Homecage,Tnfaip8l3,tdT-,2100,1308,0,0,Excitatory
SeuratProject,500229,4401,Homecage,Dkkl1,tdT-,2578,1654,1,1,Excitatory
SeuratProject,1362990,5404,Homecage,Tnfaip8l3,tdT-,2104,1345,0,0,Excitatory
SeuratProject,134310,3064,Homecage,Tnfaip8l3,tdT-,2430,981,0,0,Excitatory
SeuratProject,1135381,2100,Homecage,Tnfaip8l3,tdT-,2734,842,0,0,Excitatory
SeuratProject,744656,3703,Homecage,Dkkl1,tdT-,2458,1163,1,1,Excitatory
SeuratProject,1236160,5435,Homecage,Dkkl1,tdT-,2160,1360,1,1,Excitatory
SeuratProject,521082,6412,Homecage,Dkkl1,tdT-,1743,1009,1,1,Excitatory
SeuratProject,1400246,3247,Homecage,Tnfaip8l3,tdT-,2508,1124,0,0,Excitatory
SeuratProject,1641475,7927,Homecage,Dkkl1,tdT-,1858,1356,1,1,Excitatory
SeuratProject,1177410,3626,Homecage,Tnfaip8l3,tdT-,2433,1346,0,0,Excitatory
SeuratProject,765920,5860,Homecage,Tnfaip8l3,tdT-,1870,1058,3,3,Excitatory
SeuratProject,1814724,5346,Homecage,Dkkl1,tdT-,2217,1384,1,1,Excitatory
SeuratProject,1071623,8359,Homecage,Tnfaip8l3,tdT-,1531,865,0,0,Excitatory
SeuratProject,1442971,7938,Homecage,Tnfaip8l3,tdT-,1656,987,0,0,Excitatory
SeuratProject,1451430,7326,Homecage,Dkkl1,tdT-,1682,1002,1,1,Excitatory
SeuratProject,1443556,5318,Homecage,Dkkl1,tdT-,2185,1264,1,1,Excitatory
SeuratProject,1125279,3994,Homecage,Dkkl1,tdT-,2421,1391,1,1,Excitatory
SeuratProject,1777398,5198,Homecage,Dkkl1,tdT-,2181,1365,1,1,Excitatory
SeuratProject,1948773,6498,Homecage,Tnfaip8l3,tdT-,2051,1513,0,0,Excitatory
SeuratProject,707659,7176,Homecage,Dkkl1,tdT-,1716,1092,0,0,Excitatory
SeuratProject,521735,5424,Homecage,Dkkl1,tdT-,2376,1627,0,0,Excitatory
SeuratProject,544196,7051,Homecage,Dkkl1,tdT-,1687,1059,0,0,Excitatory
SeuratProject,425739,7396,Homecage,Dkkl1,tdT-,1613,941,0,0,Excitatory
SeuratProject,714096,8796,Homecage,Dkkl1,tdT-,1492,791,1,1,Excitatory
SeuratProject,160097,7036,Homecage,Dkkl1,tdT-,1801,1282,0,0,Excitatory
SeuratProject,709026,7349,Homecage,Dkkl1,tdT-,1639,911,0,0,Excitatory
SeuratProject,889194,6307,Homecage,Dkkl1,tdT-,1904,1223,0,0,Excitatory
SeuratProject,1320404,8488,Homecage,Dkkl1,tdT-,1535,916,0,0,Excitatory
SeuratProject,795703,3788,Homecage,Dkkl1,tdT-,2472,1492,0,0,Excitatory
SeuratProject,1214585,1359,Homecage,Dkkl1,tdT-,2680,652,1,1,Excitatory
SeuratProject,2859182,4613,Homecage,Dkkl1,tdT-,2320,1337,0,0,Excitatory
SeuratProject,2025636,6364,Homecage,Dkkl1,tdT-,1878,1169,0,0,Excitatory
SeuratProject,583131,2465,Homecage,Dkkl1,tdT-,2723,1142,0,0,Excitatory
SeuratProject,1459866,3095,Homecage,Dkkl1,tdT-,2562,1189,0,0,Excitatory
SeuratProject,455022,5846,Homecage,Dkkl1,tdT-,1966,1209,0,0,Excitatory
SeuratProject,1004150,4902,Homecage,Dkkl1,tdT-,2196,1377,0,0,Excitatory
SeuratProject,1665178,7757,Homecage,Dkkl1,tdT-,1710,965,0,0,Excitatory
SeuratProject,897591,3231,Homecage,Dkkl1,tdT-,2502,1170,0,0,Excitatory
SeuratProject,2558621,5244,Homecage,Dkkl1,tdT-,2207,1395,0,0,Excitatory
SeuratProject,999275,2131,Homecage,Dkkl1,tdT-,2684,761,1,1,Excitatory
SeuratProject,2942762,5994,Homecage,Dkkl1,tdT-,2062,1331,0,0,Excitatory
SeuratProject,2825277,4726,Homecage,Dkkl1,tdT-,2360,1432,0,0,Excitatory
SeuratProject,1385685,3683,Homecage,Dkkl1,tdT-,2542,1397,0,0,Excitatory
SeuratProject,2087283,6754,Homecage,Dkkl1,tdT-,1816,1120,0,0,Excitatory
SeuratProject,700544,6636,Homecage,Dkkl1,tdT-,1776,1092,0,0,Excitatory
SeuratProject,999902,2663,Homecage,Dkkl1,tdT-,2625,1045,0,0,Excitatory
SeuratProject,518333,3696,Homecage,Dkkl1,tdT-,2401,1308,0,0,Excitatory
SeuratProject,1320597,3567,Homecage,Calb2,tdT-,2511,1254,5,5,Inhibitory
SeuratProject,1518111,2725,Homecage,Calb2,tdT-,2715,1097,5,5,Inhibitory
SeuratProject,1587741,2611,Homecage,Calb2,tdT-,2804,1008,5,5,Inhibitory
SeuratProject,240149,1964,Homecage,Tesc,tdT-,3254,758,3,3,Excitatory
SeuratProject,2523354,3951,Homecage,Lhx6,tdT-,2532,1237,4,4,Inhibitory
SeuratProject,203652,1103,Homecage,Calb2,tdT-,2995,621,5,5,Inhibitory
SeuratProject,1421556,2045,Homecage,Tesc,tdT-,2772,851,5,5,Inhibitory
SeuratProject,140362,2658,Homecage,Tesc,tdT-,2803,1362,5,5,Inhibitory
SeuratProject,1830927,5355,Homecage,Tesc,tdT-,2285,1326,5,5,Inhibitory
SeuratProject,295667,1710,Homecage,Tesc,tdT-,2798,795,5,5,Inhibitory
SeuratProject,493916,1112,Homecage,Tesc,tdT-,3204,564,5,5,Inhibitory
SeuratProject,304594,2198,Homecage,Dkkl1,tdT-,2750,680,0,0,Excitatory
SeuratProject,1701682,2678,Homecage,Tesc,tdT-,2673,982,5,5,Inhibitory
SeuratProject,357012,2356,Homecage,Tesc,tdT-,2942,1135,5,5,Inhibitory
SeuratProject,1601326,3629,Homecage,Tesc,tdT-,2537,1342,5,5,Inhibitory
SeuratProject,827851,2480,Homecage,Tesc,tdT-,2690,1007,5,5,Inhibitory
SeuratProject,384492,2351,Homecage,Tesc,tdT-,2702,821,5,5,Inhibitory
SeuratProject,784228,2966,Homecage,Calb2,tdT-,2694,1086,5,5,Inhibitory
SeuratProject,2388891,3537,Homecage,Tesc,tdT-,2541,1361,5,5,Inhibitory
SeuratProject,151679,3022,Homecage,Lhx6,tdT-,2648,1446,4,4,Inhibitory
SeuratProject,303879,2221,Homecage,Tesc,tdT-,2964,1132,6,6,Inhibitory
SeuratProject,1615689,5099,Homecage,Tesc,tdT-,2224,1321,5,5,Inhibitory
SeuratProject,582948,1543,Homecage,Rprm,tdT-,2727,568,0,0,Excitatory
SeuratProject,650673,2038,Homecage,Lhx6,tdT-,2891,868,4,4,Inhibitory
SeuratProject,563334,1996,Homecage,Tshz2,tdT-,3475,865,3,3,Excitatory
