gene,importance_score
Gm15487,1.7750015471060019
Tmem181b-ps,1.0552415208704473
Camk2a,0.9519906726015638
Zscan26,0.9516495483383156
Actr2,0.9426559681831812
Scn2b,0.8910433341276357
Lars2,0.889344807695609
Ubc,0.8865437646476304
Arglu1,0.8761062826227606
Gm26596,0.8391844518524507
Cbx3,0.8169414263567317
Gm15920,0.7714532731336889
Micu3,0.7254510968814984
Pcna-ps2,0.678932139163971
Prune2,0.6143293018655406
Set,0.609754270792411
Dpysl2,0.5968606968840522
St13,0.5834092890617584
Gnb1,0.5811102814759402
Gnl3l,0.5561259196518238
Gm9825,0.5393282799193349
Lrrc8a,0.5122954222894855
Spry2,0.4980935822198562
Inpp4a,0.471467503752787
Hist1h4d,0.4505369507883368
Gsk3b,0.4454687358672131
Gm7292,0.43516744676681013
mt-Rnr1,0.43214522237155895
Tial1,0.4296625102259353
BC030500,0.416409846394628
Opcml,0.4124318566385947
Kdm6b,0.4117706474329212
Paip1,0.40982329174051507
Ctxn1,0.3907605296138816
Insig1,0.3873544990138888
Eno1b,0.37724963211685975
Dusp3,0.36927406198820995
Tcf4,0.36863764490736917
Atp1a3,0.3667074974170186
Hpcal4,0.36567413580770086
Gm9855,0.35124571194196186
Gbas,0.3457966506359837
Sod1,0.3451833930372929
Pja2,0.34326796381037894
Alkbh5,0.32542795835711136
Taok1,0.30673509109151903
Fos,0.2956380449570259
Birc6,0.2926580390070755
Ric1,0.29123678101595696
Vgf,0.2909683901515179
Cntnap2,0.29019053330661054
Gpr3,0.28003145320151096
Galntl6,0.2798988540302177
Gm4202,0.26897551818514887
Hmga1-rs1,0.2675306502819113
4933434E20Rik,0.2639530160107481
Gatad1,0.25837854004509536
Pitpnc1,0.25795042390867623
Acsl4,0.25790546563629846
Ss18l2,0.2547783473627163
Dctn4,0.2538702604347335
Hmgcr,0.25360672103215826
Gm9844,0.25299374558488325
Tagap,0.2525647073546271
Ncald,0.24925592632801363
Scand1,0.24820956814314243
Cit,0.2470163297043755
Rsph9,0.24517560999225776
Hnrnph2,0.24332039561314614
Nudt3,0.2425084698403381
Gng4,0.23927236677058772
Midn,0.23823984763900616
Gm8399,0.23599281023090402
Chrm1,0.23386088441135125
Tesc,0.23236486843676907
Rab14,0.23187182389643424
Hsf2,0.22607842711669562
Calr,0.2223323234687668
Tmod2,0.22227909707173452
Prkacb,0.21855992662471072
Nmt2,0.2180456490643059
Klhl9,0.21780385477300812
Golt1b,0.21618146336041189
Usp46,0.21432076104681824
Gm14410,0.21007691978818496
Myadm,0.20887423844079187
Actb,0.20870531696731362
Rprml,0.20584728884659056
Nr2f2,0.2054953818635399
Atf4,0.2054654915540173
Sik1,0.20442025579584652
Sstr2,0.20438554082563076
Usp29,0.20401698012602093
Cacna1e,0.20322648442805227
Gabra4,0.2022684912917864
Gm3608,0.20220399234598363
Ptp4a2,0.20048135252319185
Tsc22d1,0.19765038725987769
Fosl2,0.19716138883493486
Lyrm4,0.19547910126908546
Inafm2,0.19388400434014066
Msi1,0.19347817234758832
Smap1,0.18877804601866358
Ado,0.18640520415390832
Mir670hg,0.18629887499574643
Psd3,0.1861971774314663
Tspan13,0.1859155090897814
Vps39,0.1844566864289842
Pnmal2,0.18427518954511915
Synpo,0.18312021385087496
Resp18,0.18246268638543514
Dcaf7,0.1819658906219562
Scamp5,0.18064814863258147
Twf1,0.1790410747267678
Gucy1b3,0.17889792579626357
Olfm1,0.17868932127720258
Igsf3,0.1777659796559835
Lpl,0.1774838319143792
Rasl10a,0.174747953915425
Dynlt1a,0.17410154353374252
Gt(ROSA)26Sor,0.17149775350543844
Adi1,0.17121426318138014
Bhlhe41,0.1696963565539884
Baiap2,0.16887558975332748
Tmem132a,0.1685140399620188
Rnf141,0.16776977216616243
Gsta4,0.16767513961997324
Otub1,0.16755314563582765
Slc39a1,0.16620967970214656
Nrxn2,0.16580877116917597
Ap2a2,0.1643685973452462
Ate1,0.1642375926861428
Mpped1,0.16235293325167238
Hnrnpa2b1,0.16195622344800495
Spry4,0.1618051789509721
Gm6472,0.16180275034427383
Rbm15,0.16066992536906724
Pam,0.1603881919070588
Tmsb10,0.1596495820228277
Rgs16,0.1585241142059226
Gad2,0.15798637060611043
Gm13340,0.15784378608955005
Dlx6os1,0.15749088326496535
Apba2,0.15645644538190448
Bmp3,0.15458320053137162
Kcnmb4,0.15355793434136406
Hnrnpa1,0.1534087573972551
Ncoa1,0.1532480267358474
Phyhip,0.15260644773671014
Tenm4,0.15258445802402598
Rps28,0.15168998153714613
Gm4735,0.1516399378666344
Nr4a1,0.151481434092461
Prox1,0.15144435237981582
Myef2,0.15126104872142082
Sh3gl2,0.15049211621972067
Gabrb1,0.14998041731840686
Inhbb,0.14946626178700156
Tppp3,0.1484236526396068
Psap,0.14834062365471673
Lmo4,0.14732128871312697
Gak,0.14707891035326195
Pter,0.14639313244609672
Cdkn1b,0.14564322488456696
Pcdhgc5,0.1455065365303144
Nkain2,0.14428340136327986
Pdk1,0.1439360106098707
Skil,0.14381779915130244
Gm12346,0.14343356402786653
Nab2,0.14239410715866543
Gpm6a,0.1421024582677746
Inpp5f,0.14200289124995386
Gm28437,0.1419049725540669
Rassf2,0.14118718714060513
Nptx1,0.14094542891971493
Fscn1,0.14069813449300161
Map2k4,0.14056856269640114
Ppm1h,0.14048895296112102
Atxn1,0.13880499392439385
Ociad2,0.1378744724767426
Ubxn1,0.13724167583589905
Slc24a3,0.13709178720302137
Klf13,0.13689847271324906
Sfxn5,0.13686954645985971
Gm4737,0.13594498871658636
Col6a1,0.134730719031793
mt-Atp8,0.13471583711812665
Coro7,0.13442893860675464
