"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Mt1",2.3685025152282e-13,0.664510023161321,0.592,0.296,2.14112627376629e-10,"0","Mt1"
"Dclk1",2.17101378639268e-08,0.462419478559791,0.598,0.356,1.96259646289899e-05,"0","Dclk1"
"Nrip3",5.07052234707565e-08,0.717792873085481,0.316,0.153,4.58375220175639e-05,"0","Nrip3"
"Wipf3",5.45204516130734e-08,0.428253811240822,0.55,0.326,4.92864882582183e-05,"0","Wipf3"
"Rpsa",1.01412825145737e-07,0.337389527526808,0.925,0.744,9.16771939317467e-05,"0","Rpsa"
"Shank1",2.23766257156161e-07,0.751654010749744,0.255,0.116,0.00020228469646917,"0","Shank1"
"Rplp0",2.98338743188706e-07,0.271194989037054,0.976,0.873,0.00026969822384259,"0","Rplp0"
"Cx3cl1",4.24381538614073e-07,0.61263725950334,0.416,0.237,0.000383640910907122,"0","Cx3cl1"
"Nrxn2",9.94927389861548e-07,0.44672057623257,0.501,0.305,0.00089941436043484,"0","Nrxn2"
"Sfpq",2.94079422814433e-06,0.549059124760331,0.273,0.139,0.00265847798224247,"0","Sfpq"
"Cnih3",3.25301067898803e-06,0.525575133449341,0.292,0.155,0.00294072165380518,"0","Cnih3"
"Srsf6",7.15306165912554e-06,0.30850134032319,0.263,0.133,0.00646636773984949,"0","Srsf6"
"Abr",8.06691270991478e-06,0.347215129467211,0.708,0.502,0.00729248908976296,"0","Abr"
"Elmo2",1.10508752657878e-05,0.599358584968243,0.263,0.138,0.00998999124027213,"0","Elmo2"
"Capzb",1.24817846290977e-05,0.521453959893867,0.571,0.394,0.0112835333047043,"0","Capzb"
"Mapk10",2.06841573944232e-05,0.46928867329764,0.375,0.225,0.0186984782845586,"0","Mapk10"
"Erc2",2.37812378101008e-05,0.45082428799869,0.37,0.218,0.0214982389803311,"0","Erc2"
"Rprml",4.23428583330955e-05,0.540675578836129,0.332,0.196,0.0382779439331184,"0","Rprml"
"Nrp1",4.27478100283988e-05,0.393922467689433,0.327,0.188,0.0386440202656725,"0","Nrp1"
"Cltb",7.15257864190441e-05,0.342063430754139,0.609,0.397,0.0646593109228159,"0","Cltb"
"Hnrnpa2b1",9.13674297521138e-05,0.343928287093784,0.617,0.427,0.0825961564959108,"0","Hnrnpa2b1"
"Mphosph8",0.000162085534944089,0.386901663637367,0.33,0.198,0.146525323589457,"0","Mphosph8"
"Mrps26",0.000193569143868797,0.295083232214834,0.743,0.53,0.174986506057392,"0","Mrps26"
"Sipa1l1",0.000214117525279064,0.69121164937714,0.263,0.15,0.193562242852274,"0","Sipa1l1"
"Mapre1",0.000225772902889034,0.410502002459185,0.29,0.166,0.204098704211687,"0","Mapre1"
"Amd1",0.000226676912560336,0.310879150847505,0.44,0.277,0.204915928954544,"0","Amd1"
"2010300C02Rik",0.000308373986545278,0.325996686796954,0.676,0.494,0.278770083836931,"0","2010300C02Rik"
"BC005537",0.000311092536226367,0.329328505211154,0.319,0.191,0.281227652748636,"0","BC005537"
"Prkar1b",0.000380846895697669,0.385797724235466,0.273,0.163,0.344285593710693,"0","Prkar1b"
"Tuba4a",0.000553671866613013,0.457616549849677,0.346,0.226,0.500519367418164,"0","Tuba4a"
"Cyfip2",0.000598127828526486,0.495196042495359,0.461,0.329,0.540707556987943,"0","Cyfip2"
"Wbscr17",0.000837463596912007,0.342200287079054,0.391,0.258,0.757067091608455,"0","Wbscr17"
"Rab6b",0.000952828645950747,0.459014097493463,0.402,0.264,0.861357095939475,"0","Rab6b"
"Ankrd17",0.00110120709311626,0.259849554472796,0.284,0.179,0.995491212177096,"0","Ankrd17"
"Slc30a3",0.0012137511379942,0.363509702170598,0.343,0.225,1,"0","Slc30a3"
"Mrpl4",0.00126999658129024,0.34096967853481,0.271,0.168,1,"0","Mrpl4"
"Ildr2",0.00127179927755788,0.404526325995629,0.292,0.19,1,"0","Ildr2"
"Csde1",0.00131977209708474,0.266884014556804,0.332,0.214,1,"0","Csde1"
"Sptbn2",0.00151516285303243,0.332854634107776,0.44,0.297,1,"0","Sptbn2"
"Erdr1",0.00153521153501974,0.338406919888955,0.279,0.176,1,"0","Erdr1"
"Dnaja2",0.00189156225558518,0.380848934771202,0.354,0.236,1,"0","Dnaja2"
"Synpo",0.00200962572485156,0.34354182303093,0.257,0.16,1,"0","Synpo"
"Ccl27a",0.0022255951901039,0.319780054082024,0.442,0.301,1,"0","Ccl27a"
"Pdia6",0.00281116030868744,0.284853387468797,0.265,0.169,1,"0","Pdia6"
"Ppp2ca",0.00336309819885607,0.577228025913022,0.29,0.191,1,"0","Ppp2ca"
"Plekhg5",0.00429720189690944,0.429190573209048,0.257,0.172,1,"0","Plekhg5"
"Hspa4",0.00578319149475489,0.35707142839223,0.265,0.174,1,"0","Hspa4"
"Synj1",0.00605410837863505,0.286821173124426,0.314,0.212,1,"0","Synj1"
"Smim7",0.00779342989861928,0.29725390684814,0.475,0.358,1,"0","Smim7"
"Nhp2l1",7.61481084922496e-06,0.44672431804239,0.492,0.358,0.00688378900769936,"1","Nhp2l1"
"Zwint",6.81663876721805e-05,0.31326424481024,0.823,0.724,0.0616224144556511,"1","Zwint"
"Jun",0.000353927288747238,0.337762224302693,0.722,0.664,0.319950269027503,"1","Jun"
"Phyhipl",0.000428392889519032,0.404212540429401,0.312,0.225,0.387267172125205,"1","Phyhipl"
"Eif3g",0.00100692253459551,0.441489607901958,0.338,0.241,0.910257971274343,"1","Eif3g"
"U2af1",0.00192593383505057,0.277087416691916,0.489,0.401,1,"1","U2af1"
"Mef2c",0.00232140194399394,0.265801163153961,0.681,0.612,1,"1","Mef2c"
"Nudc",0.00455497900245249,0.314350283393058,0.53,0.455,1,"1","Nudc"
