"","experiment.label","treatment","facs_sort","fos_status","ActivityStatus","CellID","ArcStatus","FosStatus","Activity_class"
"1","Jeager","HC","Fos-","Fos-","Inactive","X151207_G3_N_C_N_HC_3",NA,NA,"Inactive"
"2","Jeager","1hr","Fos+","Fos+","Active","X151214_A11_P_C_F_EE_3",NA,NA,"EarlySignature"
"3","Jeager","1hr","Fos-","Fos-","Inactive","X151214_A2_P_C_N_EE_3",NA,NA,"Inactive"
"4","Jeager","1hr","Fos-","Fos-","Inactive","X151214_A3_P_C_N_EE_3",NA,NA,"Inactive"
"5","Jeager","1hr","Fos+","Fos+","Active","X151214_A9_P_C_F_EE_3",NA,NA,"EarlySignature"
"6","Jeager","1hr","Fos+","Fos+","Active","X151214_B10_P_C_F_EE_3",NA,NA,"EarlySignature"
"7","Jeager","1hr","Fos+","Fos+","Active","X151214_B11_P_C_F_EE_3",NA,NA,"EarlySignature"
"8","Jeager","1hr","Fos+","Fos+","Active","X151214_B12_P_C_F_EE_3",NA,NA,"EarlySignature"
"9","Jeager","1hr","Fos-","Fos-","Inactive","X151214_B2_P_C_N_EE_3",NA,NA,"Inactive"
"10","Jeager","1hr","Fos-","Fos-","Inactive","X151214_B3_P_C_N_EE_3",NA,NA,"Inactive"
"11","Jeager","1hr","Fos-","Fos-","Inactive","X151214_B4_P_C_N_EE_3",NA,NA,"Inactive"
"12","Jeager","1hr","Fos+","Fos+","Active","X151214_B9_P_C_F_EE_3",NA,NA,"EarlySignature"
"13","Jeager","1hr","Fos-","Fos-","Inactive","X151214_C1_P_C_N_EE_3",NA,NA,"Inactive"
"14","Jeager","1hr","Fos+","Fos+","Active","X151214_C10_P_C_F_EE_3",NA,NA,"EarlySignature"
"15","Jeager","1hr","Fos+","Fos+","Active","X151214_C11_P_C_F_EE_3",NA,NA,"EarlySignature"
"16","Jeager","1hr","Fos+","Fos+","Active","X151214_C12_P_C_F_EE_3",NA,NA,"EarlySignature"
"17","Jeager","1hr","Fos-","Fos-","Inactive","X151214_C2_P_C_N_EE_3",NA,NA,"Inactive"
"18","Jeager","1hr","Fos-","Fos-","Inactive","X151214_C3_P_C_N_EE_3",NA,NA,"Inactive"
"19","Jeager","1hr","Fos-","Fos-","Inactive","X151214_C4_P_C_N_EE_3",NA,NA,"Inactive"
