"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",1.62646586744928e-241,1.80829339725087,0.394,0.041,4.54646003928098e-237,"0","PENK"
"2",1.22919832507588e-140,1.6866199959916,0.575,0.167,3.43597807808461e-136,"0","RGS4"
"3",5.37559931791821e-75,1.27769190352776,0.802,0.575,1.50264127733768e-70,"0","BDNF"
"4",1.05025300406311e-67,1.04081250679513,0.916,0.826,2.93577222225761e-63,"1","MEG3"
"5",6.22175681027429e-20,0.889864470007311,0.458,0.337,1.73916768117597e-15,"1","TIMP2"
"6",1.98388789594539e-18,0.760895552008212,0.568,0.503,5.54556183553614e-14,"1","ATP2B4"
"7",5.17234335812623e-48,0.541794753378246,1,0.777,1.44582513889703e-43,"2","COX7B"
"8",9.94706290195562e-64,0.530776344370576,1,0.961,2.78050249298365e-59,"2","ARPC2"
"9",6.39440802552652e-41,0.504117422773543,0.989,0.698,1.78742887537543e-36,"2","SLC25A5"
"10",1.55330573124936e-17,0.50665503219644,0.857,0.826,4.34195551056134e-13,"3","FKBP3"
"11",4.00091301285261e-09,0.501110040082105,0.459,0.42,0.000111837521448269,"3","EIF3I"
"12",2.25402806553297e-14,0.493481838765908,0.719,0.706,6.30068465158431e-10,"3","PFN1"
"13",3.735739034889e-73,0.718367357300283,0.998,0.859,1.04425113242252e-68,"4","RPLP1"
"14",1.18278242002158e-107,0.696630204306456,1,0.992,3.30623169868631e-103,"4","TMSB4X"
"15",5.25622873771708e-51,0.681618196064702,0.964,0.646,1.46927361905405e-46,"4","RPS26"
"16",2.05643053469895e-54,1.2654467520404,0.632,0.326,5.74834027364397e-50,"5","KCNQ1OT1"
"17",9.39897598484049e-151,1.21928484780396,1,0.999,2.62729575704246e-146,"5","MALAT1"
"18",5.5795278272257e-79,1.09936405300173,0.975,0.825,1.5596454135444e-74,"5","MEG3"
"19",8.32218702076299e-33,1.0353828797273,0.543,0.374,2.32630093791388e-28,"6","HMGB1"
"20",3.10998453480535e-21,0.942902930483682,0.505,0.384,8.69333977014139e-17,"6","LRRC58"
"21",1.69118319352657e-46,0.747814719223834,0.982,0.933,4.72736438086482e-42,"6","UBB"
"22",4.51832981948214e-32,0.534911227136817,0.793,0.427,1.26300873443984e-27,"7","GOLM1"
"23",2.85772545437258e-25,0.440614019989249,0.593,0.295,7.98819996260767e-21,"7","DSP"
"24",4.79759646603638e-27,0.421265465239416,0.987,0.815,1.34107214015115e-22,"7","EID1"
"25",2.83100829372267e-21,0.489667619215798,0.566,0.314,7.91351748344297e-17,"8","NME7"
"26",1.14005726774076e-14,0.454783892794497,0.743,0.506,3.18680208051575e-10,"8","RSBN1L"
"27",3.51205573147025e-14,0.43784835745949,0.44,0.251,9.81724938617878e-10,"8","HMGN5"
"28",7.59504463759892e-65,0.992433917065767,0.881,0.564,2.12304282754803e-60,"9","USMG5"
"29",5.84110872877626e-95,0.92996725646813,1,0.932,1.63276512295483e-90,"9","UBB"
"30",3.60499273396543e-47,0.860449469767238,0.695,0.37,1.00770361892536e-42,"9","HMGB1"
"31",3.6802617451764e-35,0.539457921248384,0.994,0.919,1.02874356562916e-30,"10","ZBTB20"
"32",4.86876578178831e-16,0.538529519827893,0.461,0.269,1.36096609898329e-11,"10","HRK"
