shapoyte_gene,context,context_abreviation
Mir1970c,DMGs in Negative vCA1 cells (compared with Neutral),neg_valence
Rn45s,DMGs in Negative vCA1 cells (compared with Neutral),neg_valence
Mir7686,DMGs in Negative vCA1 cells (compared with Neutral),neg_valence
Olfr781,DMGs in Negative vCA1 cells (compared with Neutral),neg_valence
Galk1,DMGs in Negative vCA1 cells (compared with Neutral),neg_valence
1700001K19Rik,DMGs in Negative vCA1 cells (compared with Neutral),neg_valence
Hmmr,DMGs in Negative vCA1 cells (compared with Neutral),neg_valence
Pdcd6ip,DMGs in Negative vCA1 cells (compared with Neutral),neg_valence
Gm20752,DMGs in Negative vCA1 cells (compared with Neutral),neg_valence
A730082K24Rik,DMGs in Negative vCA1 cells (compared with Neutral),neg_valence
Ssxb10,DMGs in Negative vCA1 cells (compared with Neutral),neg_valence
Platr9,DMGs in Negative vCA1 cells (compared with Neutral),neg_valence
Sh3pxd2b,DMGs in Negative vCA1 cells (compared with Neutral),neg_valence
Angpt2,DMGs in Negative vCA1 cells (compared with Neutral),neg_valence
Mindy2,DMGs in Negative vCA1 cells (compared with Neutral),neg_valence
Zfp609,DMGs in Negative vCA1 cells (compared with Neutral),neg_valence
Thsd7b,DMGs in Negative vCA1 cells (compared with Neutral),neg_valence
Phlpp1,DMGs in Negative vCA1 cells (compared with Neutral),neg_valence
Ccdc33,DMGs in Negative vCA1 cells (compared with Neutral),neg_valence
Bmper,DMGs in Negative vCA1 cells (compared with Neutral),neg_valence
Nisch,DMGs in Negative vCA1 cells (compared with Neutral),neg_valence
Greb1,DMGs in Negative vCA1 cells (compared with Neutral),neg_valence
Gmppb,DMGs in Negative vCA1 cells (compared with Neutral),neg_valence
Gabrg3,DMGs in Negative vCA1 cells (compared with Neutral),neg_valence
Dcc,DMGs in Negative vCA1 cells (compared with Neutral),neg_valence
Col19a1,DMGs in Negative vCA1 cells (compared with Neutral),neg_valence
Aif1,DMGs in Negative vCA1 cells (compared with Neutral),neg_valence
Mecom,DMGs in Negative vCA1 cells (compared with Neutral),neg_valence
Anks1b,DMGs in Negative vCA1 cells (compared with Neutral),neg_valence
Pea15a,DMGs in Negative vCA1 cells (compared with Neutral),neg_valence
Nyap2,DMGs in Negative vCA1 cells (compared with Neutral),neg_valence
4930467E23Rik,DMGs in Negative vCA1 cells (compared with Neutral),neg_valence
Gm5136,DMGs in Negative vCA1 cells (compared with Neutral),neg_valence
Ykt6,DMGs in Negative vCA1 cells (compared with Neutral),neg_valence
7420701I03Rik,DMGs in Negative vCA1 cells (compared with Neutral),neg_valence
Gm12596,DMGs in Negative vCA1 cells (compared with Neutral),neg_valence
Fam78b,DMGs in Negative vCA1 cells (compared with Neutral),neg_valence
Sox5,DMGs in Negative vCA1 cells (compared with Neutral),neg_valence
Runx1,DMGs in Negative vCA1 cells (compared with Neutral),neg_valence
Cntn5,DMGs in Negative vCA1 cells (compared with Neutral),neg_valence
Cntnap2,DMGs in Negative vCA1 cells (compared with Neutral),neg_valence
March11,DMGs in Negative vCA1 cells (compared with Neutral),neg_valence
Slc16a7,DMGs in Negative vCA1 cells (compared with Neutral),neg_valence
Gm14015,DMGs in Negative vCA1 cells (compared with Neutral),neg_valence
Slitrk2,DMGs in Negative vCA1 cells (compared with Neutral),neg_valence
Mir1952,DMGs in Negative vCA1 cells (compared with Neutral),neg_valence
Lrrc52,DMGs in Negative vCA1 cells (compared with Neutral),neg_valence
Mir6354,DMGs in Negative vCA1 cells (compared with Neutral),neg_valence
Htr1d,DMGs in Negative vCA1 cells (compared with Neutral),neg_valence
a,DMGs in Negative vCA1 cells (compared with Neutral),neg_valence
Lclat1,DMGs in Negative vCA1 cells (compared with Neutral),neg_valence
Gm14725,DMGs in Negative vCA1 cells (compared with Neutral),neg_valence
Map3k7,DMGs in Negative vCA1 cells (compared with Neutral),neg_valence
Hmga2,DMGs in Negative vCA1 cells (compared with Neutral),neg_valence
Ak2,DMGs in Negative vCA1 cells (compared with Neutral),neg_valence
Mir6341,DMGs in Negative vCA1 cells (compared with Neutral),neg_valence
