"","sample_name","title","source_name","organism","donor_id","donor_sex","donor_genotype","injection_type","injection_target","injected_material","dissected_region","dissected_layer","facs_gating","facs_date","rna_amplification_set","sequencing_tube","sequencing_batch","sequencing_qc_pass_fail","cell_class","cell_subclass","cell_cluster","molecule","SRA_Run","GEO_Sample","GEO_Sample_Title","iegsum_activity","tPC1_score","scaled.tPC1_score","scaled.iegsum_activity","Fos","Arc","Npas4","Dusp1","Fosb","Nr4a1","Igf1","Gpd1"
"10","F2S4_151217_005_B01","F2S4_151217_005_B01","Primary Visual Cortex (VISp)","Mus musculus","222454","M","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L2/3","RFP-positive","12/17/2015","A8S4_160107_01","LS-14690","R8S4-160203","Pass","GABAergic","Pvalb","Pvalb Tpbg","polyA RNA","SRR7335406","GSM3189964","VISp_Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",133.575652170988,-4.35386385340581,-0.935251275751258,1.37093689591611,0.89828401721437,-0.320633569434866,0.191849037302317,0.237559224118335,2.13585633768982,0.0126269586030015,0.264544444520849,0.304231269316373
"18","F2S4_151217_006_B01","F2S4_151217_006_B01","Primary Visual Cortex (VISp)","Mus musculus","222454","M","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L2/3","RFP-positive","12/17/2015","A8S4_160107_01","LS-14690","R8S4-160203","Pass","GABAergic","Vip","Vip Chat Htr1f","polyA RNA","SRR7335296","GSM3189964","VISp_Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",107.51870909117,38.1810696713928,1.37284926303128,0.494424670759118,1.21012136108384,-0.320633569434866,-0.373510623367559,-1.21288044395544,2.57252397146602,1.53522281156833,1.19111808256072,1.39562002429439
"24","F2S4_151217_006_H01","F2S4_151217_006_H01","Primary Visual Cortex (VISp)","Mus musculus","222454","M","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L2/3","RFP-positive","12/17/2015","A8S4_160107_01","LS-14690","R8S4-160203","Pass","GABAergic","Lamp5","Lamp5 Lsp1","polyA RNA","SRR7335362","GSM3189964","VISp_Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",121.497558170062,-16.2116118354623,0.304007491165879,0.964649903003021,0.31115665670522,1.17570595621178,0.532203862978624,1.2510888476031,1.36802670309263,-0.111931921607663,0.54705699615468,-0.546017775205469
"26","F2S4_151217_009_B01","F2S4_151217_009_B01","Primary Visual Cortex (VISp)","Mus musculus","222454","M","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L4","RFP-positive","12/17/2015","A8S4_160107_01","LS-14690","R8S4-160203","Pass","GABAergic","Sst","Sst Hpse Sema3c","polyA RNA","SRR7335384","GSM3189964","VISp_Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",80.592339466623,4.2773582170302,-0.563158024981241,-0.411333617260897,0.485813246537732,-0.320633569434866,-0.373510623367559,-1.21288044395544,-0.444875322622506,-0.758551398604891,-0.275184991534574,-0.775497946516473
"27","F2S4_151217_009_C01","F2S4_151217_009_C01","Primary Visual Cortex (VISp)","Mus musculus","222454","M","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L4","RFP-positive","12/17/2015","A8S4_160107_01","LS-14690","R8S4-160203","Pass","GABAergic","Vip","Vip Pygm C1ql1","polyA RNA","SRR7335395","GSM3189964","VISp_Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",115.955842004942,27.0893351506336,1.3533023948682,0.778235788645913,1.65852133394939,-0.320633569434866,3.95835331317174,-1.21288044395544,-0.444875322622506,1.3586447053423,1.16488513895746,1.14424228928746
"29","F2S4_151217_009_E01","F2S4_151217_009_E01","Primary Visual Cortex (VISp)","Mus musculus","222454","M","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L4","RFP-positive","12/17/2015","A8S4_160107_01","LS-14690","R8S4-160203","Pass","GABAergic","Vip","Vip Pygm C1ql1","polyA RNA","SRR7335418","GSM3189964","VISp_Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",109.17101864746,35.9043275117752,1.48084507264927,0.550005615975738,1.02712341845027,0.205478399365624,-0.373510623367559,-1.21288044395544,-0.444875322622506,1.79033343046168,1.13264428620996,1.04281946806506
"30","F2S4_151217_009_F01","F2S4_151217_009_F01","Primary Visual Cortex (VISp)","Mus musculus","222454","M","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L4","RFP-positive","12/17/2015","A8S4_160107_01","LS-14690","R8S4-160203","Pass","GABAergic","Vip","Vip Chat Htr1f","polyA RNA","SRR7335429","GSM3189964","VISp_Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",131.652815957541,38.648820536739,1.46659964895932,1.30625588391489,1.18525519323726,-0.320633569434866,4.42994312665857,0.736712354050367,-0.444875322622506,2.42235272532387,1.31604701208035,1.45038612943167
"31","F2S4_151217_009_G01","F2S4_151217_009_G01","Primary Visual Cortex (VISp)","Mus musculus","222454","M","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L4","RFP-positive","12/17/2015","A8S4_160107_01","LS-14690","R8S4-160203","Pass","GABAergic","Vip","Vip Ptprt Pkp2","polyA RNA","SRR7335440","GSM3189964","VISp_Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",135.04121901976,5.60034424202022,1.19440075890663,1.42023612705761,0.400585477602366,-0.320633569434866,1.00557919559627,-1.21288044395544,2.29346376790265,1.25689252523902,0.894493814468627,1.76460606599104
"32","F2S4_151217_009_H01","F2S4_151217_009_H01","Primary Visual Cortex (VISp)","Mus musculus","222454","M","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L4","RFP-positive","12/17/2015","A8S4_160107_01","LS-14690","R8S4-160203","Pass","GABAergic","Vip","Vip Pygm C1ql1","polyA RNA","SRR7335451","GSM3189964","VISp_Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",77.8807136772888,39.6675252080859,1.40902423864356,-0.502548198615349,0.76269939869137,-0.320633569434866,-0.373510623367559,-1.21288044395544,-0.444875322622506,1.60123958273145,1.38612453244089,0.98875828744885
"33","F2S4_151217_010_A01","F2S4_151217_010_A01","Primary Visual Cortex (VISp)","Mus musculus","222454","M","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L4","RFP-positive","12/17/2015","A8S4_160107_01","LS-14690","R8S4-160203","Pass","GABAergic","Vip","Vip Ptprt Pkp2","polyA RNA","SRR7335462","GSM3189964","VISp_Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",76.4871936916135,33.3248962947006,1.36632151774621,-0.549423893116558,1.08840013383395,-0.320633569434866,-0.373510623367559,-1.21288044395544,-0.444875322622506,1.29227529155252,1.22690379587077,1.47305205429279
