idx,stimulus_responsive_gene,autoencoder_target
1,Arc,TRUE
2,Atf3,FALSE
3,Btg2,TRUE
4,Ccdc184,FALSE
5,Coq10b,TRUE
6,Crem,TRUE
7,Csrnp1,FALSE
8,Dusp1,TRUE
9,Dusp5,TRUE
10,Egr1,TRUE
11,Egr2,FALSE
12,Egr3,TRUE
13,Errfi1,FALSE
14,Fbxo33,TRUE
15,Fos,TRUE
16,Fosb,FALSE
17,Fosl2,TRUE
18,Gadd45g,TRUE
19,Gmeb2,TRUE
20,Grasp,TRUE
21,Herpud1,FALSE
22,Ier2,FALSE
23,Junb,TRUE
24,Klf4,FALSE
25,Mbnl2,FALSE
26,Npas4,FALSE
27,Nr4a1,TRUE
28,Nr4a2,TRUE
29,Nr4a3,TRUE
30,Pcsk1,FALSE
31,Peg10,FALSE
32,Per1,TRUE
33,Plagl1,FALSE
34,Ppp1r15a,FALSE
35,Ptgs2,FALSE
36,Rem2,FALSE
37,Rgs2,TRUE
38,Sertad1,TRUE
39,Sik1,FALSE
40,Stard4,FALSE
41,Tiparp,TRUE
