Symbol_hg	Symbol_mm	ID
1	AANAT	Aanat	AANAT_Aanat
2	AATK	Aatk	AATK_Aatk
3	ABCA1	Abca1	ABCA1_Abca1
4	ABCA4	Abca4	ABCA4_Abca4
5	ABCA2	Abca2	ABCA2_Abca2
6	ABCB7	Abcb7	ABCB7_Abcb7
7	ABCG1	Abcg1	ABCG1_Abcg1
8	ABI1	Abi1	ABI1_Abi1
9	ABL1	Abl1	ABL1_Abl1
10	ABL2	Abl2	ABL2_Abl2
11	ACADL	Acadl	ACADL_Acadl
12	ACADM	Acadm	ACADM_Acadm
13	ACADVL	Acadvl	ACADVL_Acadvl
14	ACADS	Acads	ACADS_Acads
15	SLC33A1	Slc33a1	SLC33A1_Slc33a1
16	ASIC2	Asic2	ASIC2_Asic2
17	ASIC1	Asic1	ASIC1_Asic1
18	ACE	Ace	ACE_Ace
19	ACHE	Ache	ACHE_Ache
20	APOC4	Apoc4	APOC4_Apoc4
21	MACF1	Macf1	MACF1_Macf1
22	ACO1	Aco1	ACO1_Aco1
23	ACO2	Aco2	ACO2_Aco2
24	ACOX1	Acox1	ACOX1_Acox1
25	ACP1	Acp1	ACP1_Acp1
26	ACP2	Acp2	ACP2_Acp2
27	ACP5	Acp5	ACP5_Acp5
28	ACR	Acr	ACR_Acr
29	CHRNA1	Chrna1	CHRNA1_Chrna1
30	CHRNA4	Chrna4	CHRNA4_Chrna4
31	CHRNA6	Chrna6	CHRNA6_Chrna6
32	CHRFAM7A	Chrna7	CHRFAM7A_Chrna7
33	CHRNB1	Chrnb1	CHRNB1_Chrnb1
34	CHRNB2	Chrnb2	CHRNB2_Chrnb2
35	CHRND	Chrnd	CHRND_Chrnd
36	CHRNE	Chrne	CHRNE_Chrne
37	CHRNG	Chrng	CHRNG_Chrng
38	ADIPOQ	Adipoq	ADIPOQ_Adipoq
39	ACRV1	Acrv1	ACRV1_Acrv1
40	ACTA1	Acta1	ACTA1_Acta1
41	ACTB	Actb	ACTB_Actb
42	ACTC1	Actc1	ACTC1_Actc1
43	ACTG1	Actg1	ACTG1_Actg1
44	ACTG2	Actg2	ACTG2_Actg2
45	ACTL7A	Actl7a	ACTL7A_Actl7a
46	ACTL7B	Actl7b	ACTL7B_Actl7b
47	ACTN2	Actn2	ACTN2_Actn2
48	ACTN3	Actn3	ACTN3_Actn3
49	ACTA2	Acta2	ACTA2_Acta2
50	ACVR1	Acvr1	ACVR1_Acvr1
51	ACVR1B	Acvr1b	ACVR1B_Acvr1b
52	ACVR2A	Acvr2a	ACVR2A_Acvr2a
53	ACVR2B	Acvr2b	ACVR2B_Acvr2b
54	ACVRL1	Acvrl1	ACVRL1_Acvrl1
55	ASPA	Aspa	ASPA_Aspa
56	ADA	Ada	ADA_Ada
57	ADAM10	Adam10	ADAM10_Adam10
